id,name,collection,country,prefecture,priority,score,unknown_dimensions,reasons,recommended_action,current_facets
jp-006,上川ラーメン,japan_local_ramen,日本,北海道,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-012,稚内ラーメン,japan_local_ramen,日本,北海道,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-013,利尻ラーメン,japan_local_ramen,日本,北海道,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-018,つゆやきそば,japan_local_ramen,日本,青森県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-019,八戸ラーメン,japan_local_ramen,日本,青森県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-020,宮古ラーメン,japan_local_ramen,日本,岩手県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-021,釜石ラーメン,japan_local_ramen,日本,岩手県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-022,五穀ラーメン,japan_local_ramen,日本,岩手県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-025,じゃじゃ麺,japan_local_ramen,日本,岩手県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-027,江戸系ラーメン,japan_local_ramen,日本,秋田県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
