regional_dish_id,regional_dish_name,parent_style_id,parent_style_name,resolution_status
jp-udon-okkirikomi,おっきりこみ,jp-style-udon-kake,かけうどん,resolved
jp-other-kishimen,きしめん,jp-style-udon-kake,かけうどん,resolved
jp-other-kishimen,きしめん,jp-style-udon-zaru,ざるうどん,resolved
jp-udon-shippoku,しっぽくうどん,jp-style-udon-kake,かけうどん,resolved
jp-yakisoba-sechi,せち焼き,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-other-sobameshi,そばめし,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-soba-toji,とうじそば,jp-style-soba-kake,かけそば,resolved
jp-yakisoba-namie,なみえ焼そば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-udon-hippari,ひっぱりうどん,jp-style-udon-kamaage,釜揚げうどん,resolved
jp-udon-himokawa,ひもかわうどん,jp-style-udon-kake,かけうどん,resolved
jp-udon-himokawa,ひもかわうどん,jp-style-udon-zaru,ざるうどん,resolved
jp-yakisoba-hiruzen,ひるぜん焼そば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-soba-hegi,へぎそば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-other-hoto,ほうとう,jp-style-udon-kake,かけうどん,resolved
jp-soba-wanko,わんこそば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-yakisoba-kitami-shio,オホーツク北見塩やきそば,jp-style-yakisoba-salt,塩焼きそば,resolved
jp-yakisoba-ota,上州太田焼そば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-udon-goto,五島うどん,jp-style-udon-kamaage,釜揚げうどん,resolved
jp-udon-goto,五島うどん,jp-style-udon-zaru,ざるうどん,resolved
jp-udon-ise,伊勢うどん,jp-style-udon-kake,かけうどん,resolved
jp-udon-saiki-gomadashi,佐伯ごまだしうどん,jp-style-udon-kake,かけうどん,resolved
jp-other-sayo-horumon-yakiudon,佐用ホルモン焼きうどん,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-soba-tsumetai-niku,冷たい肉そば,jp-style-soba-kake,かけそば,resolved
jp-soba-izushi,出石皿そば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-soba-izumo,出雲そば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-soba-izumo,出雲そば,jp-style-soba-kake,かけそば,resolved
jp-udon-kazo,加須うどん,jp-style-udon-zaru,ざるうどん,resolved
jp-udon-kazo,加須うどん,jp-style-udon-kake,かけうどん,resolved
jp-udon-hakata,博多うどん,jp-style-udon-kake,かけうどん,resolved
jp-udon-yoshida,吉田のうどん,jp-style-udon-kake,かけうどん,resolved
jp-udon-miyazaki-kamaage,宮崎釜揚げうどん,jp-style-udon-kamaage,釜揚げうどん,resolved
jp-yakisoba-fujinomiya,富士宮やきそば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-soba-taishu,対州そば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-soba-taishu,対州そば,jp-style-soba-kake,かけそば,resolved
jp-other-kokura-yakiudon,小倉焼うどん,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-yakisoba-otaru-ankake,小樽あんかけ焼そば,jp-style-yakisoba-ankake,あんかけ焼きそば,resolved
jp-soba-togakushi,戸隠そば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-yakisoba-hita,日田やきそば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-soba-ita,板そば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-yakisoba-yokote,横手やきそば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-udon-musashino,武蔵野うどん,jp-style-udon-zaru,ざるうどん,resolved
jp-udon-mizusawa,水沢うどん,jp-style-udon-zaru,ざるうどん,resolved
jp-udon-himi,氷見うどん,jp-style-udon-zaru,ざるうどん,resolved
jp-udon-himi,氷見うどん,jp-style-udon-kake,かけうどん,resolved
jp-other-tsuyama-horumon-udon,津山ホルモンうどん,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-soba-tsugaru,津軽そば,jp-style-soba-kake,かけそば,resolved
jp-soba-jindaiji,深大寺そば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-soba-jindaiji,深大寺そば,jp-style-soba-kake,かけそば,resolved
jp-yakisoba-seto-shoyu,瀬戸しょうゆ焼そば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-other-kawara-soba,瓦そば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-yakisoba-ishinomaki,石巻焼きそば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-soba-iya,祖谷そば,jp-style-soba-kake,かけそば,resolved
jp-udon-inaniwa,稲庭うどん,jp-style-udon-zaru,ざるうどん,resolved
jp-udon-inaniwa,稲庭うどん,jp-style-udon-kake,かけうどん,resolved
jp-yakisoba-itoigawa-black,糸魚川ブラック焼きそば,jp-style-yakisoba-sauce,ソース焼きそば,resolved
jp-yakisoba-itoigawa-black,糸魚川ブラック焼きそば,jp-style-yakisoba-salt,塩焼きそば,resolved
jp-udon-mimi,耳うどん,jp-style-udon-kake,かけうどん,resolved
jp-soba-tachi,裁ちそば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-udon-sanuki,讃岐うどん,jp-style-udon-kake,かけうどん,resolved
jp-udon-sanuki,讃岐うどん,jp-style-udon-bukkake,ぶっかけうどん,resolved
jp-udon-sanuki,讃岐うどん,jp-style-udon-kamaage,釜揚げうどん,resolved
jp-udon-sanuki,讃岐うどん,jp-style-udon-zaru,ざるうどん,resolved
jp-soba-echizen-oroshi,越前おろしそば,jp-style-soba-mori-zaru,もり・ざるそば,resolved
jp-other-nagasaki-saraudon,長崎皿うどん,jp-style-yakisoba-ankake,あんかけ焼きそば,resolved
